,Email Ad Id,Locale,Client,Headline,Deal Category,Sales Category ,Ad Id,Clicks,% of Total,Publish Date,Emails Sent ,Price,Conversion Rate (N Clicks/ N Delivered Emails *100),Percentage Diff Demand (Emails sent vs. Clicks),PriceGroup,quartile_for_PED_calc
901,Year: 2019Week: 45,UK,Jetline Travel,"£299pp -- Italy: 5-nt Ischia island escape w/meals, save 38%",Vacations,Travel Agency,2822973,6542,0.0008,11/6/2019,2043632.0,299.0,0.3201163418854275,198.7236205317207,High,329.0
902,Year: 2019Week: 45,UK,Jetline Travel,"£299pp -- Italy: Ischia island escape w/meals, from Dublin",Vacations,Travel Agency,2823176,565,0.0001,11/6/2019,54408.0,299.0,1.0384502279076606,195.88889091008312,High,329.0
913,Year: 2019Week: 46,UK,Blue Bay Travel Ltd.,"£1199pp -- Deluxe Barbados all-inc beach week, fr Manchester",Vacations,Vacation,2825446,1359,0.0002,11/13/2019,318424.0,1199.0,0.42678943798206165,198.30009725345,V.High,600.0
914,Year: 2019Week: 46,UK,Exoticca.co.uk,"£1299pp -- 15-night Indonesia & Kuala Lumpur tour, save £500",Vacations,Travel Agency,2824603,9598,0.0012,11/13/2019,4830063.0,1299.0,0.1987137641889971,199.2067212972148,V.High,600.0
915,Year: 2019Week: 46,UK,Fleetway Travel Ltd,"£499pp -- Corfu: 5-star premium all-inc week, save up to 51%",Vacations,Travel Agency,2824974,9589,0.0012,11/13/2019,2415028.0,499.0,0.3970554378665589,198.41805942959238,V.High,599.0
916,Year: 2019Week: 46,UK,holidays.ch. AG (Travelzoo Packages),"£699pp -- Canaries villa week w/flts, private pool & meals",Vacations,Vacation,2825028,4150,0.0005,11/13/2019,870500.0,699.0,0.47673750717978175,198.10209798204997,V.High,600.0
917,Year: 2019Week: 46,UK,holidays.ch. AG (Travelzoo Packages),"£699pp -- Canaries villa week w/private pool, from East Mids",Vacations,Vacation,2825362,810,0.0001,11/13/2019,172360.0,699.0,0.4699466233464841,198.12900617889935,V.High,600.0
918,Year: 2019Week: 46,UK,Jetline Travel,"£199pp -- Spain: all-inc beach break, from Belfast",Vacations,Travel Agency,2825447,1706,0.0002,11/13/2019,45556.0,199.0,3.7448415137413296,185.5613389192163,High,199.0
919,Year: 2019Week: 46,UK,Jetline Travel,"£499pp -- Cyprus: 5-star ultra all-inc holiday, fr Scotland",Vacations,Travel Agency,2825459,2940,0.0004,11/13/2019,276937.0,499.0,1.0616132911095304,195.79815418916166,V.High,599.0
920,Year: 2019Week: 46,UK,Jetline Travel,"£499pp -- Cyprus: 5-star ultra all-inc holiday, from Dublin",Vacations,Travel Agency,2825458,214,,11/13/2019,17594.0,499.0,1.2163237467318404,195.19317160826594,V.High,599.0
921,Year: 2019Week: 46,UK,Lumle Holidays Ltd,£1299pp -- South India: 13-night tour inc flights & meals,Vacations,Travel Agency,2824436,10688,0.0014000000000000002,11/13/2019,4830063.0,1299.0,0.22128075762158794,199.1168312520103,V.High,600.0
928,Year: 2019Week: 46,UK,Fleetway Travel Ltd,£299pp -- Spanish Grand Prix break inc flights & beach stay,Vacations,Travel Agency,2825464,14333,0.0018,11/13/2019,2415024.0,299.0,0.5934930667355687,197.64003396783593,High,329.0
929,Year: 2019Week: 46,UK,Fleetway Travel Ltd,"£499pp -- Sicily week with flights & meals, save 39%",Vacations,Travel Agency,2825323,6238,0.0008,11/13/2019,1919452.0,499.0,0.3249885904935367,198.70425665605575,V.High,599.0
930,Year: 2019Week: 46,UK,Jetline Travel,£199pp -- Spain: 4-star all-inc beach break with flights,Vacations,Travel Agency,2824970,9437,0.0012,11/13/2019,1120396.0,199.0,0.8422914755140146,196.658975264486,High,199.0
931,Year: 2019Week: 46,UK,Jetline Travel,"£199pp -- Spain: all-inc beach break, from Dublin",Vacations,Travel Agency,2825450,210,,11/13/2019,8796.0,199.0,2.3874488403819916,190.6728847435043,High,199.0
932,Year: 2019Week: 46,UK,Jetline Travel,"£199pp -- Spain: all-inc beach break, from the North",Vacations,Travel Agency,2825452,7108,0.0009,11/13/2019,557694.0,199.0,1.2745340634828417,194.96602349141824,High,199.0
933,Year: 2019Week: 46,UK,Jetline Travel,£299pp -- Corfu: all-inc beach week w/flights & transfers,Vacations,Travel Agency,2825358,6510,0.0008,11/13/2019,1574730.0,299.0,0.41340420262521194,198.35319116642637,High,329.0
934,Year: 2019Week: 46,UK,Jetline Travel,"£299pp -- Corfu: all-inc beach week, fr Manchester",Vacations,Travel Agency,2825444,1557,0.0002,11/13/2019,296184.0,299.0,0.5256867352726683,197.9082491158423,High,329.0
935,Year: 2019Week: 46,UK,Jetline Travel,"£299pp -- Corfu: all-inc beach week, fr the Midlands",Vacations,Travel Agency,2825442,1809,0.0002,11/13/2019,344720.0,299.0,0.5247737294035739,197.91186307639478,High,329.0
936,Year: 2019Week: 46,UK,Jetline Travel,£499pp -- Cyprus: 5-star all-inc holiday w/flts & transfers,Vacations,Travel Agency,2825461,10258,0.0013,11/13/2019,1510676.0,499.0,0.6790337570729925,197.30218405269392,V.High,599.0
937,Year: 2019Week: 46,UK,Jetline Travel,"£499pp -- Cyprus: 5-star ultra all-inc holiday, fr the North",Vacations,Travel Agency,2825460,9477,0.0012,11/13/2019,1115392.0,499.0,0.8496564436538903,196.63000758310523,V.High,599.0
947,Year: 2019Week: 46,UK,Fleetway Travel Ltd,"£499pp -- Sicily week with flights & meals, fr Manchester",Vacations,Travel Agency,2825474,1240,0.0002,11/13/2019,296184.0,499.0,0.41865867163655024,198.3323470869869,V.High,599.0
948,Year: 2019Week: 46,UK,holidays.ch. AG (Travelzoo Packages),£249pp -- Prague: Baroque palace escape inc flights,Vacations,Vacation,2825470,7707,0.001,11/13/2019,3622539.0,249.0,0.21275133269786745,199.15080135065227,High,329.0
949,Year: 2019Week: 46,UK,holidays.ch. AG (Travelzoo Packages),"£699pp -- Canaries villa week with meals, from the Northwest",Vacations,Vacation,2825351,615,0.0001,11/13/2019,141875.0,699.0,0.43348017621145374,198.27356305705663,V.High,600.0
950,Year: 2019Week: 46,UK,holidays.ch. AG (Travelzoo Packages),"£799pp -- Canaries villa week w/private pool, from Belfast",Vacations,Vacation,2825372,300,,11/13/2019,22778.0,799.0,1.3170603213627186,194.80024265534274,V.High,600.0
951,Year: 2019Week: 46,UK,Jetline Travel,"£199pp -- Spain: all-inc beach break, from Birmingham",Vacations,Travel Agency,2825448,4203,0.0005,11/13/2019,344720.0,199.0,1.2192504061267115,195.1817449695205,High,199.0
952,Year: 2019Week: 46,UK,Jetline Travel,"£199pp -- Spain: all-inc beach break, from Bristol",Vacations,Travel Agency,2825449,3071,0.0004,11/13/2019,199394.0,199.0,1.5401667051165029,193.93277850492677,High,199.0
953,Year: 2019Week: 46,UK,Jetline Travel,"£299pp -- Corfu: all-inc beach week, from Bristol",Vacations,Travel Agency,2825443,1418,0.0002,11/13/2019,199394.0,299.0,0.7111547990410946,197.17546760153775,High,329.0
960,Year: 2019Week: 46,UK,Blue Bay Travel Ltd.,"£1199pp -- Barbados: 5-star all-inc beachfront week, 52% off",Vacations,Vacation,2825307,8030,0.001,11/13/2019,2096604.0,1199.0,0.3830003186104768,198.47384390825198,V.High,600.0
961,Year: 2019Week: 46,UK,Blue Bay Travel Ltd.,£1299pp -- All-inc St Lucia holiday w/flights & transfers,Vacations,Vacation,2824926,6569,0.0008,11/13/2019,2415028.0,1299.0,0.27200512789085673,198.91493093194285,V.High,600.0
962,Year: 2019Week: 46,UK,Broadway Travel Service (Wimbledon) Ltd,£399pp -- 5-star Madeira week w/dine-around meals & sea view,Vacations,Vacation,2824489,30500,0.0039000000000000003,11/13/2019,4830063.0,399.0,0.631461742838551,197.49000270133317,High,599.0
963,Year: 2019Week: 46,UK,Fleetway Travel Ltd,"£499pp -- Sicily week with flights & meals, from Bristol",Vacations,Travel Agency,2825475,1043,0.0001,11/13/2019,199394.0,499.0,0.5230849473905935,197.9185479726797,V.High,599.0
964,Year: 2019Week: 46,UK,Jetline Travel,"£199pp -- Spain: all-inc beach break, from Scotland",Vacations,Travel Agency,2825451,2106,0.0003,11/13/2019,138468.0,199.0,1.5209290233122454,194.00742669341415,High,199.0
965,Year: 2019Week: 46,UK,Jetline Travel,£499pp -- Cyprus: 5-star all-inc holiday w/flts & transfers,Vacations,Travel Agency,2824491,9667,0.0012,11/13/2019,1510676.0,499.0,0.6399121982476719,197.4566265638741,V.High,599.0
966,Year: 2019Week: 46,UK,Jetline Travel,"£499pp -- Cyprus: 5-star ultra all-inc holiday, from Bristol",Vacations,Travel Agency,2825456,4099,0.0005,11/13/2019,398788.0,499.0,1.0278644292205383,195.93037253621983,V.High,599.0
974,Year: 2019Week: 47,UK,Broadway Travel Service (Wimbledon) Ltd,£479pp -- 5-star Halkidiki all-inc week with swim-up room,Vacations,Vacation,2827713,4727,0.0006,11/20/2019,1512476.0,479.0,0.3125338848351974,198.7537593848681,V.High,599.0
975,Year: 2019Week: 47,UK,Broadway Travel Service (Wimbledon) Ltd,"£479pp -- All-inc Halkidiki week at new hotel, fr Manchester",Vacations,Vacation,2827803,889,0.0001,11/20/2019,295916.0,479.0,0.30042309303991677,198.80190697596066,V.High,599.0
976,Year: 2019Week: 47,UK,Broadway Travel Service (Wimbledon) Ltd,"£479pp -- All-inc Halkidiki week at new hotel, fr Newcastle",Vacations,Vacation,2827804,960,0.0001,11/20/2019,261216.0,479.0,0.3675119441381845,198.53533504210912,V.High,599.0
977,Year: 2019Week: 47,UK,Exoticca.co.uk,"£1199pp -- 9-night Uzbekistan tour with flights, save £600",Vacations,Travel Agency,2827778,8062,0.001,11/20/2019,4139221.0,1199.0,0.1947709484465797,199.22243068534266,V.High,600.0
978,Year: 2019Week: 47,UK,Fleetway Travel Ltd,"£399pp -- Lanzarote: all-inc suite week w/flights, save 38%",Vacations,Travel Agency,2827763,11999,0.0015,11/20/2019,1696294.0,399.0,0.7073655863900952,197.19041171508636,High,599.0
979,Year: 2019Week: 47,UK,Fleetway Travel Ltd,£399pp -- Lanzarote: all-inc week with flights fr Scotland,Vacations,Travel Agency,2827764,1356,0.0002,11/20/2019,138286.0,399.0,0.9805764864122182,196.11578178484984,High,599.0
980,Year: 2019Week: 47,UK,Fleetway Travel Ltd,£399pp -- Lanzarote: all-inc week with flights fr the North,Vacations,Travel Agency,2827765,2623,0.0003,11/20/2019,261216.0,399.0,1.0041498223692271,196.02333241105373,High,599.0
981,Year: 2019Week: 47,UK,Jetline Travel,£139pp -- 3-nt Athens break inc flights & Acropolis tickets,Vacations,Travel Agency,2827677,13480,0.0017000000000000001,11/20/2019,4719268.0,139.0,0.28563751836089835,198.86070418285527,Mid,199.0
982,Year: 2019Week: 47,UK,Jetline Travel,"£169pp -- Deluxe all-inc Marrakesh escape w/extras, save 40%",Vacations,Travel Agency,2827444,9489,0.0012,11/20/2019,2041498.0,169.0,0.4648057455848597,198.14937881127477,Mid,199.0
983,Year: 2019Week: 47,UK,Jetline Travel,"£169pp -- Deluxe all-inc Marrakesh escape w/extras, save 40%",Vacations,Travel Agency,2827723,9964,0.0013,11/20/2019,2041498.0,169.0,0.4880729738652695,198.05719043296926,Mid,199.0
984,Year: 2019Week: 47,UK,Jetline Travel,"£169pp -- Deluxe all-inc Marrakesh escape, fr the Northwest",Vacations,Travel Agency,2827722,3505,0.0004,11/20/2019,636271.0,169.0,0.5508659046224015,197.80860801280448,Mid,199.0
985,Year: 2019Week: 47,UK,Jetline Travel,"£169pp -- Deluxe all-inc Marrakesh escape, from Dublin",Vacations,Travel Agency,2827721,204,,11/20/2019,17593.0,169.0,1.1595520945830728,195.41495757711974,Mid,199.0
986,Year: 2019Week: 47,UK,Super Escapes,£119pp -- Algarve: deluxe 4-night break w/meals & flights,Vacations,Travel Agency,2827551,24060,0.003,11/20/2019,2656170.0,119.0,0.9058155163261387,196.40926338411256,Mid,199.0
987,Year: 2019Week: 47,UK,weekend.com,£119pp -- Deluxe Dublin break inc flights from the Midlands,Vacations,Other,2827772,2430,0.0003,11/20/2019,516486.0,119.0,0.4704870993599052,198.1268644636126,Mid,199.0
988,Year: 2019Week: 47,UK,weekend.com,£119pp -- Deluxe Dublin city break inc flights,Vacations,Other,2827703,7197,0.0009,11/20/2019,1762527.0,119.0,0.40833417019994583,198.37330566800247,Mid,199.0
996,Year: 2019Week: 47,UK,Emirates Holidays,"£1599pp -- 5-star all-inc Maldives holiday, save 58%",Vacations,Vacation,2826949,9375,0.0012,11/20/2019,2413934.0,1599.0,0.38837018742020285,198.45252916569865,V.High,600.0
997,Year: 2019Week: 47,UK,Exoticca.co.uk,"£1199pp -- Uzbekistan: 9-nt tour w/excursions, fr Birmingham",Vacations,Travel Agency,2827777,1539,0.0002,11/20/2019,688648.0,1199.0,0.22348137219595499,199.1080678135056,V.High,600.0
998,Year: 2019Week: 47,UK,Fleetway Travel Ltd,£399pp -- Lanzarote: all-inc week w/flights fr the Northwest,Vacations,Travel Agency,2827768,2925,0.0004,11/20/2019,318134.0,399.0,0.9194238905618388,196.35580999131002,High,599.0
999,Year: 2019Week: 47,UK,Fleetway Travel Ltd,"£599pp -- Tenerife: all-inc 5-star week w/flights, save £163",Vacations,Travel Agency,2827180,5422,0.0007000000000000001,11/20/2019,1066868.0,599.0,0.5082165741216346,197.97741282675395,V.High,
1000,Year: 2019Week: 47,UK,Fleetway Travel Ltd,"£599pp -- Tenerife: all-inc 5-star week, from the Northwest",Vacations,Travel Agency,2827724,2763,0.0003,11/20/2019,318134.0,599.0,0.8685019520076446,196.55590423095262,V.High,
1001,Year: 2019Week: 47,UK,Super Escapes,"£119pp -- Algarve: 4-night break w/meals, from the Southwest",Vacations,Travel Agency,2827781,8273,0.001,11/20/2019,570205.0,119.0,1.4508817004410695,194.27947130227943,Mid,199.0
1002,Year: 2019Week: 47,UK,weekend.com,£119pp -- Deluxe Dublin city break inc flights from Bristol,Vacations,Other,2827771,1893,0.0002,11/20/2019,298755.0,119.0,0.6336295626851434,197.4814400894069,Mid,199.0
1017,Year: 2019Week: 47,UK,Citrus Holidays (trading division of The Wise Miser Limited),"£1399pp -- Thailand, Vietnam & Cambodia: 14-nt private tour",Vacations,Travel Agency,2826939,5546,0.0007000000000000001,11/20/2019,2413934.0,1399.0,0.22974944633946082,199.08310876717312,V.High,600.0
1018,Year: 2019Week: 47,UK,Fleetway Travel Ltd,"£599pp -- Tenerife: all-inc 5-star week, from the Northeast",Vacations,Travel Agency,2827719,2490,0.0003,11/20/2019,261216.0,599.0,0.9532341051084161,196.22306659689198,V.High,
1019,Year: 2019Week: 47,UK,Jetline Travel,"£169pp -- Deluxe all-inc Marrakesh escape, from Belfast",Vacations,Travel Agency,2827720,1719,0.0002,11/20/2019,91008.0,169.0,1.8888449367088607,192.5846840726002,Mid,199.0
1020,Year: 2019Week: 47,UK,Super Escapes,"£119pp -- Algarve: deluxe 4-nt break w/meals, fr Birmingham",Vacations,Travel Agency,2827780,7673,0.001,11/20/2019,688648.0,119.0,1.1142121954902942,195.59226276386897,Mid,199.0
1021,Year: 2019Week: 47,UK,weekend.com,£119pp -- Deluxe Dublin city break inc flights from the North,Vacations,Other,2827773,3917,0.0005,11/20/2019,835698.0,119.0,0.46870998853652873,198.13390661195905,Mid,199.0
1022,Year: 2019Week: 47,UK,weekend.com,£99pp -- Deluxe Dublin city break inc flights from Scotland,Vacations,Other,2827770,943,0.0001,11/20/2019,207429.0,99.0,0.45461338578501564,198.18977597757856,Mid,199.0
1030,Year: 2019Week: 47,UK,Broadway Travel Service (Wimbledon) Ltd,"£479pp -- All-inc Halkidiki week at new hotel, fr Birmingham",Vacations,Vacation,2827802,1043,0.0001,11/20/2019,344324.0,479.0,0.3029123732298649,198.79200965929,V.High,599.0
1031,Year: 2019Week: 47,UK,Broadway Travel Service (Wimbledon) Ltd,"£499pp -- Rhodes 5-star holiday w/meals & sea view, in April",Vacations,Vacation,2827697,5192,0.0007000000000000001,11/20/2019,2413932.0,499.0,0.21508476626516407,199.1415074216948,V.High,599.0
1032,Year: 2019Week: 47,UK,Fleetway Travel Ltd,£399pp -- Iceland break w/3 tours inc Blue Lagoon & flights,Vacations,Travel Agency,2826975,14114,0.0018,11/20/2019,4827869.0,399.0,0.29234430345976664,198.8340314288588,High,599.0
1033,Year: 2019Week: 47,UK,Fleetway Travel Ltd,"£599pp -- Tenerife: all-inc 5-star week, from the Southwest",Vacations,Travel Agency,2827730,1591,0.0002,11/20/2019,199170.0,599.0,0.79881508259276,196.83006161555284,V.High,
1034,Year: 2019Week: 47,UK,Fleetway Travel Ltd,£599pp -- Tenerife: all-inc 5-star week; fly fr the Midlands,Vacations,Travel Agency,2827727,2350,0.0003,11/20/2019,344324.0,599.0,0.68249671820727,197.28851889671563,V.High,
1035,Year: 2019Week: 47,UK,Fleetway Travel Ltd,£599pp -- Tenerife: all-inc 5-star week; fly from Cardiff,Vacations,Travel Agency,2827735,1286,0.0002,11/20/2019,85932.0,599.0,1.496532141693432,194.10213488041458,V.High,
1036,Year: 2019Week: 47,UK,Fleetway Travel Ltd,£599pp -- Tenerife: all-inc 5-star week; fly from Scotland,Vacations,Travel Agency,2827736,1473,0.0002,11/20/2019,138286.0,599.0,1.065183749620352,195.7841713234926,V.High,
1037,Year: 2019Week: 47,UK,Jetline Travel,"£139pp -- 3-nt Athens break inc Acropolis tickets, fr Dublin",Vacations,Travel Agency,2827775,822,0.0001,11/20/2019,108601.0,139.0,0.7568991077430226,196.99514727251128,Mid,199.0
1038,Year: 2019Week: 47,UK,Lumle Holidays Ltd,£1099pp --  9-night deluxe Sri Lanka tour w/meals & flights,Vacations,Travel Agency,2827095,1745,0.0002,11/20/2019,1206965.0,1099.0,0.14457751467523913,199.42252484053247,V.High,600.0
1039,Year: 2019Week: 47,UK,Super Escapes,"£119pp -- Algarve: deluxe 4-nt break w/meals, fr Manchester",Vacations,Travel Agency,2827784,7957,0.001,11/20/2019,636271.0,119.0,1.2505677612212405,195.05951309163837,Mid,199.0
1040,Year: 2019Week: 47,UK,Super Escapes,"£119pp -- Algarve: deluxe 4-nt break w/meals, from Edinburgh",Vacations,Travel Agency,2827783,3984,0.0005,11/20/2019,276575.0,119.0,1.440477266564223,194.31991131990063,Mid,199.0
1058,Year: 2019Week: 48,UK,Fleetway Travel Ltd,£399pp -- Greece: all-inc island holiday with flights,Vacations,Travel Agency,2830230,21677,0.0027,11/27/2019,4788426.0,399.0,0.4526957292438058,198.19737747819536,High,599.0
1059,Year: 2019Week: 48,UK,Fleetway Travel Ltd,"£399pp -- Lanzarote: all-inc suite week w/flights, save 38%",Vacations,Travel Agency,2829789,14868,0.0019,11/27/2019,2394212.0,399.0,0.6209976393067949,197.53133976455743,High,599.0
1060,Year: 2019Week: 48,UK,holidays.ch. AG (Travelzoo Packages),"£219pp -- Porto: deluxe 3-night central break, fr the North",Vacations,Vacation,2830330,1699,0.0002,11/27/2019,276412.0,219.0,0.6146621709621869,197.55637137689627,High,329.0
1061,Year: 2019Week: 48,UK,Jetline Travel,"£249pp -- Croatia: 5-night escape inc meals, 56% off",Vacations,Travel Agency,2830166,16343,0.0021,11/27/2019,1741470.0,249.0,0.9384600366357158,196.28106061338718,High,329.0
1062,Year: 2019Week: 48,UK,Jetline Travel,£249pp -- Croatia: 5-night escape w/meals; fly from Dublin,Vacations,Travel Agency,2830526,2452,0.0003,11/27/2019,107596.0,249.0,2.2788951262128703,191.08752544344284,High,329.0
1063,Year: 2019Week: 48,UK,Red Sea Holidays UK Ltd,"£379pp -- Sharm el Sheikh: all-inc holiday, from Birmingham",Vacations,Vacation,2830523,1882,0.0002,11/27/2019,341848.0,379.0,0.5505370808078445,197.8099089401565,High,599.0
1064,Year: 2019Week: 48,UK,Value Added Travel,"£1399pp -- 5-star Mauritius week w/flights, meals & tour",Vacations,Travel Agency,2829901,2513,0.0003,11/27/2019,1197105.0,1399.0,0.20992310616027832,199.1620665911982,V.High,600.0
1068,Year: 2019Week: 48,UK,Best At Travel PLC,"£899pp -- 5-star all-inc Dubai escape w/upgrade, save £496",Vacations,Travel Agency,2830241,6598,0.0008,11/27/2019,2394212.0,899.0,0.2755812768459936,198.90070434561667,V.High,600.0
1069,Year: 2019Week: 48,UK,Broadway Travel Service (Wimbledon) Ltd,£299pp -- 3-nt Spanish Grand Prix break w/flts & transfers,Vacations,Vacation,2830242,6731,0.0009,11/27/2019,2394208.0,299.0,0.2811368101685401,198.87860541229912,High,329.0
1070,Year: 2019Week: 48,UK,Broadway Travel Service (Wimbledon) Ltd,"£469pp -- Madeira: 5-star holiday w/meals, from Manchester",Vacations,Vacation,2830916,1243,0.0002,11/27/2019,315724.0,469.0,0.3936982934461745,198.43138244675313,V.High,599.0
1071,Year: 2019Week: 48,UK,Citrus Holidays (trading division of The Wise Miser Limited),£299pp -- Sorrento: deluxe all-inc escape w/flts & transfers,Vacations,Travel Agency,2829322,30464,0.0038,11/27/2019,4788426.0,299.0,0.6362007056180883,197.47128488095805,High,329.0
1072,Year: 2019Week: 48,UK,holidays.ch. AG (Travelzoo Packages),"£169pp -- Porto: deluxe 3-night central break, inc flights",Vacations,Vacation,2829743,3254,0.0004,11/27/2019,749768.0,169.0,0.43400091761718296,198.27149804388185,Mid,199.0
1073,Year: 2019Week: 48,UK,holidays.ch. AG (Travelzoo Packages),"£341pp -- Porto: deluxe 3-night central break, fr Birmingham",Vacations,Vacation,2830333,1116,0.0001,11/27/2019,170924.0,341.0,0.6529217663991014,197.40525459195538,High,599.0
1074,Year: 2019Week: 48,UK,holidays.ch. AG (Travelzoo Packages),£899pp -- Bali: deluxe Ubud retreat inc flights & extras,Vacations,Vacation,2828758,4036,0.0005,11/27/2019,2043798.0,899.0,0.1974754843678289,199.2116548509303,V.High,600.0
1075,Year: 2019Week: 48,UK,holidays.ch. AG (Travelzoo Packages),£949pp -- Bali: deluxe Ubud retreat w/flights fr Manchester,Vacations,Vacation,2830493,739,0.0001,11/27/2019,440487.0,949.0,0.16776885583456494,199.33004854654982,V.High,600.0
1076,Year: 2019Week: 48,UK,holidays.ch. AG (Travelzoo Packages),£999pp -- Bali: deluxe Ubud retreat w/flights fr Birmingham,Vacations,Vacation,2830491,1140,0.0001,11/27/2019,512772.0,999.0,0.22232103156958646,199.11268855368235,V.High,600.0
1077,Year: 2019Week: 48,UK,holidays.ch. AG (Travelzoo Packages),£999pp -- Bali: deluxe Ubud retreat w/flights from Scotland,Vacations,Vacation,2830499,433,0.0001,11/27/2019,205506.0,999.0,0.2106994442984633,199.15897425936805,V.High,600.0
1078,Year: 2019Week: 48,UK,Jetline Travel,"£249pp -- Croatia: 5-night escape inc meals, 56% off",Vacations,Travel Agency,2830534,16236,0.0021,11/27/2019,1741470.0,249.0,0.9323158021671347,196.3051841434233,High,329.0
1079,Year: 2019Week: 48,UK,Jetline Travel,£249pp -- Croatia: 5-night escape w/meals; fly from Bristol,Vacations,Travel Agency,2830525,9223,0.0012,11/27/2019,566432.0,249.0,1.6282625275408171,193.5913003448246,High,329.0
1080,Year: 2019Week: 48,UK,Red Sea Holidays UK Ltd,£379pp -- Sharm el Sheikh: all-inc holiday w/flights,Vacations,Vacation,2830450,9516,0.0012,11/27/2019,2052362.0,379.0,0.4636608941307625,198.1539159930898,High,599.0
1088,Year: 2019Week: 48,UK,Broadway Travel Service (Wimbledon) Ltd,£469pp -- Madeira: 5-star holiday with meals & sea view,Vacations,Vacation,2830912,4840,0.0006,11/27/2019,1536102.0,469.0,0.31508324317004993,198.7436256523607,V.High,599.0
1089,Year: 2019Week: 48,UK,Broadway Travel Service (Wimbledon) Ltd,"£469pp -- Madeira: 5-star holiday with meals, from Newcastle",Vacations,Vacation,2830917,1148,0.0001,11/27/2019,259166.0,469.0,0.44295933880215765,198.23597655139562,V.High,599.0
1090,Year: 2019Week: 48,UK,Jetline Travel,"£249pp -- Croatia: 5-night escape w/meals, from Manchester",Vacations,Travel Agency,2830527,7747,0.001,11/27/2019,631448.0,249.0,1.2268627028670611,195.15202715916112,High,329.0
1100,Year: 2019Week: 48,UK,Barbados Tourism Marketing Inc,£1099pp -- Barbados: deluxe all-inc beach week at new hotel,Vacations,Tourism Board,2830960,5620,0.0007000000000000001,11/27/2019,1197105.0,1099.0,0.4694659198650077,198.13091105614333,V.High,600.0
1101,Year: 2019Week: 48,UK,Broadway Travel Service (Wimbledon) Ltd,"£469pp -- 5-star Madeira week w/meals & sea view, fr Bristol",Vacations,Vacation,2830914,1164,0.0001,11/27/2019,283216.0,469.0,0.4109937291678436,198.36275406146706,V.High,599.0
1102,Year: 2019Week: 48,UK,Exoticca.co.uk,"£849pp -- 8-nt India tour w/flights & tiger safari, £450 off",Vacations,Travel Agency,2829872,6964,0.0009,11/27/2019,4788426.0,849.0,0.1454340110925803,199.41910876904694,V.High,600.0
1103,Year: 2019Week: 48,UK,holidays.ch. AG (Travelzoo Packages),£1099pp -- Bali: deluxe Ubud retreat w/flights fr Newcastle,Vacations,Vacation,2830497,828,0.0001,11/27/2019,388749.0,1099.0,0.21299090158431278,199.14984714190007,V.High,600.0
1113,Year: 2019Week: 49,UK,Broadway Travel Service (Wimbledon) Ltd,£299pp -- Fuerteventura: 4-star all-inc holiday with flights,Vacations,Vacation,2832592,22534,0.0028000000000000004,12/4/2019,3468842.0,299.0,0.6496115994905505,197.41832446576936,High,329.0
1114,Year: 2019Week: 49,UK,Broadway Travel Service (Wimbledon) Ltd,£299pp -- Fuerteventura: 4-star all-inc holiday with flights,Vacations,Vacation,2832656,5196,0.0007000000000000001,12/4/2019,683040.0,299.0,0.7607167955024595,196.9801056614301,High,329.0
1115,Year: 2019Week: 49,UK,Fleetway Travel Ltd,"£399pp -- Luxury all-inc Corfu week w/flights, from Bristol",Vacations,Travel Agency,2832939,1520,0.0002,12/4/2019,197578.0,399.0,0.7693164218688315,196.94622748596169,High,599.0
1116,Year: 2019Week: 49,UK,Fleetway Travel Ltd,"£499pp -- Luxury all-inc Corfu week w/flights, fr Edinburgh",Vacations,Travel Agency,2832940,640,0.0001,12/4/2019,136748.0,499.0,0.4680141574282622,198.1366640463505,V.High,599.0
1117,Year: 2019Week: 49,UK,Fleetway Travel Ltd,£699pp -- Tuscany: 4-nt guided tour & Andrea Bocelli concert,Vacations,Travel Agency,2832717,5484,0.0007000000000000001,12/4/2019,2391326.0,699.0,0.22932883262257006,199.08478352476834,V.High,600.0
1118,Year: 2019Week: 49,UK,holidays.ch. AG (Travelzoo Packages),"£849pp -- Thailand: 10-night villa holiday, from Birmingham",Vacations,Vacation,2832814,2916,0.0004,12/4/2019,683040.0,849.0,0.426914968376669,198.2995993912146,V.High,600.0
1119,Year: 2019Week: 49,UK,Jetline Travel,£199pp -- Malta: 5-star break w/flights from the Southwest,Vacations,Travel Agency,2832911,6040,0.0008,12/4/2019,395157.0,199.0,1.528506391130614,193.97802077283728,High,199.0
1120,Year: 2019Week: 49,UK,Jetline Travel,"£199pp -- Malta: 5-star break w/harbour cruise, fr the North",Vacations,Travel Agency,2832915,12352,0.0016,12/4/2019,1104389.0,199.0,1.1184464894163197,195.57569749834562,High,199.0
1121,Year: 2019Week: 49,UK,Tourism Ireland (UK),£159pp -- 3-night central Dublin escape inc flights,Vacations,Tourism Board,2832948,2955,0.0004,12/4/2019,1163286.0,159.0,0.254021796875403,198.98648735552945,Mid,199.0
1122,Year: 2019Week: 49,UK,Tourism Ireland (UK),£159pp -- 3-night Dublin escape inc flights from the North,Vacations,Tourism Board,2832956,2089,0.0003,12/4/2019,552194.0,159.0,0.37830907253610147,198.49246684455412,Mid,199.0
