CustomerId,Recency,Frequency,MonetaryValue,R,F,M,RFM_Segment_Concat,RFM_Score,RFM_Level,Cluster
38610,92,1,39.99,4,1,2,412,7.0,Loyal,0
46491,49,1,12.0,4,1,1,411,6.0,Potential,0
52535,72,1,116.0,4,1,3,413,8.0,Champions,0
65964,40,1,30.0,4,1,2,412,7.0,Loyal,0
75677,12,1,20.0,4,1,1,411,6.0,Potential,0
75699,29,1,39.99,4,1,2,412,7.0,Loyal,0
76034,29,1,104.0,4,1,3,413,8.0,Champions,0
77664,66,2,98.0,4,1,3,413,8.0,Champions,0
79257,49,2,35.0,4,1,2,412,7.0,Loyal,0
79791,1,2,139.0,4,1,4,414,9.0,Can't Lose Them,0
80376,34,2,17.0,4,1,1,411,6.0,Potential,0
81014,41,1,39.0,4,1,2,412,7.0,Loyal,0
83813,12,1,20.0,4,1,1,411,6.0,Potential,0
83824,21,1,238.0,4,1,4,414,9.0,Can't Lose Them,0
84238,20,1,238.0,4,1,4,414,9.0,Can't Lose Them,0
84310,4,1,9.0,4,1,1,411,6.0,Potential,0
85510,29,2,168.8,4,1,4,414,9.0,Can't Lose Them,0
86909,3,3,99.95,4,1,3,413,8.0,Champions,0
86940,59,1,109.0,4,1,3,413,8.0,Champions,0
87019,14,2,84.0,4,1,3,413,8.0,Champions,0
87076,36,2,34.0,4,1,2,412,7.0,Loyal,0
87211,13,2,189.0,4,1,4,414,9.0,Can't Lose Them,0
87230,91,1,78.0,4,1,3,413,8.0,Champions,0
87236,23,1,119.0,4,1,3,413,8.0,Champions,0
87387,57,1,32.0,4,1,2,412,7.0,Loyal,0
87485,1,2,138.0,4,1,4,414,9.0,Can't Lose Them,0
87760,56,1,88.0,4,1,3,413,8.0,Champions,0
87859,37,1,158.0,4,1,4,414,9.0,Can't Lose Them,0
87956,2,3,159.0,4,1,4,414,9.0,Can't Lose Them,0
88867,15,1,49.0,4,1,2,412,7.0,Loyal,0
88966,13,1,109.0,4,1,3,413,8.0,Champions,0
89719,4,1,79.0,4,1,3,413,8.0,Champions,0
90603,52,1,49.0,4,1,2,412,7.0,Loyal,0
90794,26,1,119.0,4,1,3,413,8.0,Champions,0
90914,36,2,54.95,4,1,2,412,7.0,Loyal,0
91280,71,1,69.0,4,1,3,413,8.0,Champions,0
91548,6,1,39.9,4,1,2,412,7.0,Loyal,0
91667,36,1,32.0,4,1,2,412,7.0,Loyal,0
92910,61,1,78.0,4,1,3,413,8.0,Champions,0
92998,28,1,40.0,4,1,2,412,7.0,Loyal,0
93008,23,2,41.0,4,1,2,412,7.0,Loyal,0
93045,65,1,56.0,4,1,2,412,7.0,Loyal,0
94358,29,1,20.0,4,1,1,411,6.0,Potential,0
94553,29,2,98.0,4,1,3,413,8.0,Champions,0
94721,8,2,59.0,4,1,2,412,7.0,Loyal,0
94964,13,3,97.0,4,1,3,413,8.0,Champions,0
95388,10,1,29.0,4,1,1,411,6.0,Potential,0
95858,74,2,21.0,4,1,1,411,6.0,Potential,0
95989,2,5,132.95,4,1,4,414,9.0,Can't Lose Them,0
96530,22,1,29.0,4,1,1,411,6.0,Potential,0
96873,46,1,149.0,4,1,4,414,9.0,Can't Lose Them,0
98225,3,2,50.0,4,1,2,412,7.0,Loyal,0
105172,45,1,78.0,4,1,3,413,8.0,Champions,0
106214,57,3,29.0,4,1,1,411,6.0,Potential,0
109118,63,1,37.5,4,1,2,412,7.0,Loyal,0
109197,38,2,64.0,4,1,2,412,7.0,Loyal,0
109210,31,1,119.0,4,1,3,413,8.0,Champions,0
109239,41,1,39.0,4,1,2,412,7.0,Loyal,0
109247,1,2,229.0,4,1,4,414,9.0,Can't Lose Them,0
109316,41,1,78.0,4,1,3,413,8.0,Champions,0
109396,72,1,198.0,4,1,4,414,9.0,Can't Lose Them,0
109939,13,2,88.5,4,1,3,413,8.0,Champions,0
110777,76,1,29.0,4,1,1,411,6.0,Potential,0
110788,72,1,60.0,4,1,2,412,7.0,Loyal,0
111413,3,3,236.0,4,1,4,414,9.0,Can't Lose Them,0
112565,13,1,24.0,4,1,1,411,6.0,Potential,0
112575,27,2,30.0,4,1,2,412,7.0,Loyal,0
112636,28,1,119.0,4,1,3,413,8.0,Champions,0
113319,13,1,45.0,4,1,2,412,7.0,Loyal,0
113388,83,1,104.0,4,1,3,413,8.0,Champions,0
113529,49,2,93.0,4,1,3,413,8.0,Champions,0
113566,68,1,35.0,4,1,2,412,7.0,Loyal,0
114533,69,2,24.0,4,1,1,411,6.0,Potential,0
114732,42,1,9.0,4,1,1,411,6.0,Potential,0
114784,46,1,35.0,4,1,2,412,7.0,Loyal,0
116619,98,1,69.0,4,1,3,413,8.0,Champions,0
118173,41,1,39.0,4,1,2,412,7.0,Loyal,0
118348,17,3,76.5,4,1,3,413,8.0,Champions,0
120752,37,2,118.0,4,1,3,413,8.0,Champions,0
121088,46,1,12.0,4,1,1,411,6.0,Potential,0
122996,13,2,133.0,4,1,4,414,9.0,Can't Lose Them,0
123424,26,2,85.0,4,1,3,413,8.0,Champions,0
